timestamp   actual_x   actual_y     actual_t    x_estimate    y_estimate   t_estimate   x_mes  y_mes  t_mes 
0.05 0.585066 2.68164 2.76677 0.582525 2.732 2.71967 0.512739 2.66349 2.65015 0.206229
0.05 0.568419 2.68636 2.77939 0.561077 2.71696 2.73997 0.508823 2.51011 2.75296 0.20306
0.05 0.551741 2.69086 2.79212 0.549438 2.7281 2.75033 0.589529 2.76878 2.74644 0.203159
0.05 0.535014 2.69515 2.80477 0.546725 2.74384 2.81212 0.678328 2.844 2.92817 0.202866
0.05 0.518199 2.6992 2.81747 0.536683 2.75852 2.82158 0.59618 2.84344 2.81676 0.202296
0.05 0.50129 2.70309 2.82991 0.521887 2.75923 2.82082 0.536479 2.7104 2.78934 0.202296
0.05 0.484392 2.70677 2.84232 0.506511 2.75638 2.83102 0.51639 2.67742 2.82591 0.190006
0.05 0.467527 2.71021 2.85482 0.487223 2.75524 2.85694 0.461243 2.69892 2.88809 0.190524
0.05 0.447142 2.71413 2.86946 0.455975 2.76576 2.89677 0.350751 2.81819 2.95416 0.201435
0.05 0.433516 2.71655 2.87945 0.430169 2.76635 2.92786 0.314394 2.74656 2.97553 0.198
0.05 0.41652 2.71935 2.892 0.418558 2.77288 2.92205 0.466705 2.79461 2.88086 0.202134
0.05 0.399487 2.722 2.90418 0.406111 2.76621 2.9146 0.446479 2.66182 2.86726 0.199736
0.05 0.382374 2.72436 2.91701 0.384558 2.77034 2.90961 0.338421 2.76762 2.86956 0.199736
0.051 0.361791 2.727 2.93185 0.369033 2.78358 2.88988 0.410625 2.85246 2.81235 0.200047
